formation_start,formation_end,trade_start,trade_end,n_instruments,instruments,regime_hurst,size_scalar,avg_pairwise_corr,window_sharpe,window_return
2005-08-17,2006-08-16,2006-08-17,2006-11-14,3,"['GPS-WMT', 'APA-COP', 'APD-AVY']",,1.0,0.1426542384955028,2.358552527582627,0.014582206057007774
2005-11-15,2006-11-14,2006-11-15,2007-02-16,4,"['COP-OXY', 'ADBE-MSFT', 'CAH-UNH', 'BK-STT']",,1.0,0.022487109437593588,4.259564168207178,0.017891859327394677
2006-02-16,2007-02-16,2007-02-20,2007-05-18,4,"['APA-SLB', 'COST-LOW', 'LRCX-TXN', 'ADBE-MSFT']",,1.0,0.20550314195482414,1.1491724922881952,0.006657225798572419
2006-05-18,2007-05-18,2007-05-21,2007-08-17,4,"['AMD-MU', 'CPB-MO', 'EMR-ETN', 'MCK-UNH']",,1.0,0.009298269287826533,4.7673556598614955,0.02231766538372093
2006-08-17,2007-08-17,2007-08-20,2007-11-15,4,"['COST-TGT', 'ETR-PEG', 'HAL-MRO', 'ABC-UNH']",,1.0,-0.34778233575093037,-2.892382427366376,-0.008091138801602726
2006-11-15,2007-11-15,2007-11-16,2008-02-19,4,"['BK-C', 'T-VZ', 'COST-JWN', 'ADSK-ORCL']",,1.0,0.08452577447039261,2.7218781126008054,0.017143511754738272
2007-02-20,2008-02-19,2008-02-20,2008-05-19,4,"['GLW-IBM', 'COP-SLB', 'MRK-SYK', 'INTC-QCOM']",,1.0,-0.10834289172615011,2.8045348740812455,0.015370621493933978
2007-05-21,2008-05-19,2008-05-20,2008-08-18,4,"['LLY-MDT', 'COP-SLB', 'DUK-PEG', 'K-MO']",,1.0,-0.009023987016953117,0.14552554592622963,0.0006604596525099371
2007-08-20,2008-08-18,2008-08-19,2008-11-14,4,"['PEP-MO', 'PNC-USB', 'APA-OXY', 'HD-JWN']",,1.0,-0.03614413424676428,1.4816607735242544,0.028780878493176232
2007-11-16,2008-11-14,2008-11-17,2009-02-18,1,['AMD-LRCX'],,1.0,,1.3784483340492877,0.06341632730323377
2008-02-20,2009-02-18,2009-02-19,2009-05-19,2,"['ABC-HUM', 'MAS-VMC']",,1.0,-0.23327361485864131,2.4402115392708446,0.09944772820340497
2008-05-20,2009-05-19,2009-05-20,2009-08-18,3,"['AMD-QCOM', 'BMY-LLY', 'CMCSA-T']",,1.0,,,0.0
2008-08-19,2009-08-18,2009-08-19,2009-11-16,4,"['MCK-UNH', 'DOV-SWK', 'AIG-ALL', 'BAC-USB']",,1.0,,3.988151033831867,0.003819735580200767
2008-11-17,2009-11-16,2009-11-17,2010-02-18,4,"['CPB-K', 'NEM-NUE', 'OXY-SLB', 'KLAC-LRCX']",,1.0,,-0.0981364995660595,-0.0003750914478102274
2009-02-19,2010-02-18,2010-02-19,2010-05-19,4,"['NOC-RTN', 'BAC-USB', 'LNC-UNM', 'GLW-XRX']",,1.0,,,0.0
2009-05-20,2010-05-19,2010-05-20,2010-08-18,4,"['ADI-TXN', 'PEG-SO', 'COP-OXY', 'AIG-MMC']",,1.0,-0.01842219687438747,2.9685254727217862,0.021208189748843642
2009-08-19,2010-08-18,2010-08-19,2010-11-16,4,"['ADI-AMD', 'COST-TJX', 'ETR-PEG', 'NEM-NUE']",,1.0,0.010989195404227246,-1.7533372973300583,-0.005566391218281952
2009-11-17,2010-11-16,2010-11-17,2011-02-16,4,"['AXP-COF', 'BK-JPM', 'GPS-LOW', 'ADI-KLAC']",,1.0,-0.11310809511303982,3.5309633363373383,0.015378190354544463
2010-02-19,2011-02-16,2011-02-17,2011-05-18,4,"['CPB-KO', 'FE-PEG', 'NEM-VMC', 'C-STT']",,1.0,0.03695249518697558,-0.3173949124768519,-0.0010614846264328515
2010-05-20,2011-05-18,2011-05-19,2011-08-17,4,"['C-WFC', 'BMY-JNJ', 'GPS-JWN', 'AVY-PPG']",,1.0,0.1611119114119805,-2.2840826202007065,-0.01741863866439186
2010-08-19,2011-08-17,2011-08-18,2011-11-15,3,"['ABC-UNH', 'NUE-VMC', 'APC-XOM']",,1.0,-0.07540598289878876,-0.37935840512833324,-0.002105425847333864
2010-11-17,2011-11-15,2011-11-16,2012-02-16,2,"['COST-JWN', 'APC-CVX']",,1.0,,,0.0
2011-02-17,2012-02-16,2012-02-17,2012-05-17,4,"['CVX-OXY', 'HSY-K', 'EXC-PEG', 'COST-JWN']",,1.0,-0.06239835052188666,1.1952302601096747,0.004434414932012354
2011-05-19,2012-05-17,2012-05-18,2012-08-16,4,"['COST-JWN', 'ADBE-ADSK', 'ADI-QCOM', 'AEP-ED']",,1.0,0.07073393579423802,0.371413942504544,0.0014936283154258767
2011-08-18,2012-08-16,2012-08-17,2012-11-16,4,"['BDX-BMY', 'GLW-XRX', 'COST-JWN', 'HAL-XOM']",,1.0,,0.6504976281501871,0.002311421227372268
2011-11-16,2012-11-16,2012-11-19,2013-02-20,4,"['BMY-MRK', 'MCK-UNH', 'GIS-MO', 'BA-LMT']",,1.0,0.17102403970170046,-1.1749616520263897,-0.004613418961392335
2012-02-17,2013-02-20,2013-02-21,2013-05-21,4,"['GLW-IBM', 'KO-MO', 'TGT-WMT', 'COP-MRO']",,1.0,0.07817325187694955,1.3112114869115135,0.011455353330507734
2012-05-18,2013-05-21,2013-05-22,2013-08-20,3,"['APC-HAL', 'GPS-WMT', 'KO-MO']",,1.0,,3.117659168141957,0.004107230964367048
2012-08-17,2013-08-20,2013-08-21,2013-11-18,4,"['FCX-PPG', 'CSCO-HPQ', 'DOV-PCAR', 'OXY-XOM']",,1.0,-0.14084400873348188,-1.3309827812650987,-0.006768394271406741
2012-11-19,2013-11-18,2013-11-19,2014-02-20,4,"['MCD-YUM', 'MRO-OXY', 'CPB-K', 'FCX-VMC']",,1.0,-0.07567249032202089,-0.22453441125726162,-0.0011932739848006246
2013-02-21,2014-02-20,2014-02-21,2014-05-21,4,"['T-VZ', 'APA-OXY', 'COST-HD', 'MMC-UNM']",,1.0,0.027971758726371355,3.6728622346585262,0.013401921997994837
2013-05-22,2014-05-21,2014-05-22,2014-08-20,4,"['C-STT', 'CAH-MCK', 'HD-TJX', 'KO-PEP']",,1.0,0.0697293032065626,-1.796358473709493,-0.0035457358403777617
2013-08-21,2014-08-20,2014-08-21,2014-11-18,4,"['AVY-NEM', 'AMD-INTC', 'CAH-MCK', 'GPS-TGT']",,1.0,-0.26452207221182866,-0.6270028411044312,-0.003630476108203662
2013-11-19,2014-11-18,2014-11-19,2015-02-20,4,"['INTC-MU', 'CPB-K', 'LOW-TGT', 'DE-EMR']",,1.0,-0.02830967411568981,1.2107444832690355,0.0058179705304708396
2014-02-21,2015-02-20,2015-02-23,2015-05-21,4,"['BK-STT', 'T-VZ', 'LOW-TGT', 'APA-MRO']",,1.0,,-1.3401650240505028,-0.0018685335912251855
2014-05-22,2015-05-21,2015-05-22,2015-08-20,4,"['JNJ-MRK', 'INTC-KLAC', 'ABC-UNH', 'CMCSA-T']",,1.0,0.08952257591501504,0.6691656242543425,0.00648326096795615
2014-08-21,2015-08-20,2015-08-21,2015-11-18,4,"['KO-PEP', 'COST-LOW', 'STT-USB', 'COP-MRO']",,1.0,0.05017355639288079,1.0085387063267424,0.005383611862070037
2014-11-19,2015-11-18,2015-11-19,2016-02-22,4,"['ABC-CAH', 'BDX-JNJ', 'CMCSA-T', 'HAL-SLB']",,1.0,0.032211052190942745,-1.4581025258568296,-0.005012484842508935
2015-02-23,2016-02-22,2016-02-23,2016-05-20,4,"['BMY-MDT', 'COST-LOW', 'CAG-HSY', 'ECL-KMB']",,1.0,0.11798910644608385,-0.29354104827821875,-0.002078037706093272
2015-05-22,2016-05-20,2016-05-23,2016-08-19,4,"['DOV-SWK', 'AIG-LNC', 'ABT-LLY', 'HON-MMM']",,1.0,0.0018486594817194568,1.1881901228149296,0.002321216449391761
2015-08-21,2016-08-19,2016-08-22,2016-11-17,4,"['CVS-HUM', 'APA-CVX', 'AIG-LNC', 'BAX-JNJ']",,1.0,-0.4817145339735145,-0.9298252879940004,-0.0022068544016621283
2015-11-19,2016-11-17,2016-11-18,2017-02-21,4,"['AFL-MMC', 'K-PEP', 'GLW-HPQ', 'DIS-VZ']",,1.0,0.009842447658434205,-1.7791408084552123,-0.00565420751965906
2016-02-23,2017-02-21,2017-02-22,2017-05-22,4,"['MRO-OXY', 'AVY-FCX', 'AEP-EXC', 'C-PNC']",,1.0,-0.14773357422997763,0.011899602341714185,-2.7308556127092487e-05
2016-05-23,2017-05-22,2017-05-23,2017-08-21,2,"['ETR-SO', 'GPS-TJX']",,1.0,0.00108365999571196,0.6841588031162362,0.015748685949592778
2016-08-22,2017-08-21,2017-08-22,2017-11-10,4,"['GIS-HSY', 'CVS-UNH', 'GPS-TJX', 'LLY-PFE']",,1.0,-0.021467090553283108,1.51718899687873,0.007056935576078338
