instrument,entry_date,exit_date,holding_days,entry_z,pnl,sector
DE-EMR,2015-01-30,2015-02-02,1,5.03480694049401,0.001857822888519016,Machinery
DE-EMR,2015-02-03,2015-02-04,1,4.417739245803567,0.002864094231614593,Machinery
DE-EMR,2015-02-05,2015-02-06,1,6.298906539389421,-0.0018176506222559279,Machinery
DE-EMR,2015-02-09,2015-02-10,1,6.086204743963446,0.0025238200533418574,Machinery
DE-EMR,2015-02-11,2015-02-12,1,5.430258091859466,-0.003593969614702845,Machinery
DE-EMR,2015-02-13,2015-02-17,1,5.121832735451439,-0.0027372048163932386,Machinery
DE-EMR,2015-02-18,2015-02-19,1,5.932143231211969,0.0005045680776036506,Machinery
CMCSA-T,2015-06-05,2015-07-27,35,1.7331218093063987,-0.003162279526077917,Media & Telecom
KO-PEP,2015-08-25,2015-10-01,26,-3.6341156201184264,0.011071881963560636,Staples - Food & Beverage
COST-LOW,2015-08-25,2015-08-28,3,-2.35671811892615,0.007256887427429837,Retail
STT-USB,2015-09-25,2015-10-26,21,-2.762451844240341,-0.011250066337795328,Banks
CMCSA-T,2015-12-22,2016-01-14,15,-2.8084718992691915,-0.01613526010695778,Media & Telecom
CMCSA-T,2016-01-15,2016-01-19,1,-4.334041795481395,0.0005619448954699629,Media & Telecom
CMCSA-T,2016-01-20,2016-01-21,1,-4.369824156621505,-0.000589784359637369,Media & Telecom
CMCSA-T,2016-01-22,2016-01-25,1,-4.988216309373434,-0.005750744534403987,Media & Telecom
CMCSA-T,2016-01-26,2016-01-27,1,-5.564731371441183,0.0039033665515176104,Media & Telecom
CMCSA-T,2016-01-28,2016-01-29,1,-6.110417665201191,0.0013231522556175267,Media & Telecom
CMCSA-T,2016-02-01,2016-02-02,1,-5.987387321865409,-0.0022613641304066955,Media & Telecom
CMCSA-T,2016-02-03,2016-02-04,1,-5.579024522288874,-0.00018167996558362382,Media & Telecom
CMCSA-T,2016-02-05,2016-02-08,1,-4.984609013760573,0.0034698324572408484,Media & Telecom
CMCSA-T,2016-02-09,2016-02-10,1,-5.310317271029073,-0.001234879592393761,Media & Telecom
CMCSA-T,2016-02-11,2016-02-12,1,-5.900567980663679,0.005490054757508595,Media & Telecom
CMCSA-T,2016-02-16,2016-02-17,1,-5.6789819283552,-0.001539143820899448,Media & Telecom
CMCSA-T,2016-02-18,2016-02-19,1,-6.156657269460153,-0.005233804221484754,Media & Telecom
HAL-SLB,2016-01-27,2016-02-12,12,-3.4842995946064312,-0.013447940328816157,Energy
HAL-SLB,2016-02-16,2016-02-17,1,-5.504296174123255,0.00020193973486677056,Energy
HAL-SLB,2016-02-18,2016-02-19,1,-4.434966539819379,0.0019305237759973462,Energy
COST-LOW,2016-04-19,2016-05-19,22,-2.02761551602857,-0.026096896267102813,Retail
AIG-LNC,2016-06-28,2016-07-01,3,-2.369708182210838,0.010432686549737417,Insurance
CVS-HUM,2016-11-09,2016-11-10,1,-4.287996846373584,-0.01738501456085035,Healthcare Services
CVS-HUM,2016-11-11,2016-11-14,1,-5.3769648439496605,-0.0070271016557582056,Healthcare Services
CVS-HUM,2016-11-15,2016-11-16,1,-6.028928231053722,-0.0006345856216326082,Healthcare Services
BAX-JNJ,2016-10-21,2016-11-10,14,2.960111252234743,0.020416114494818158,Pharma & Med Device
AFL-MMC,2016-12-05,2017-01-27,36,-3.1945063233490885,0.004600149232546539,Insurance
AFL-MMC,2017-02-02,2017-02-03,1,-4.6213466007619255,-0.002050470395005512,Insurance
AFL-MMC,2017-02-06,2017-02-07,1,-4.128409504269366,0.0025266060312481996,Insurance
AFL-MMC,2017-02-08,2017-02-13,3,-3.998181535557816,-0.002827876202793577,Insurance
AFL-MMC,2017-02-14,2017-02-16,2,-3.8319594047361867,-0.004530690430240696,Insurance
AFL-MMC,2017-02-17,2017-02-21,1,-4.84365664569988,-0.0014479041038156337,Insurance
AVY-FCX,2017-03-02,2017-05-09,47,2.4987798572684863,-0.005139594112663391,Materials
ETR-SO,2017-06-30,2017-07-18,11,3.618104975473952,-0.0068898265259606985,Utilities
ETR-SO,2017-07-19,2017-07-20,1,4.164981438379001,-0.0001909169129629315,Utilities
ETR-SO,2017-07-21,2017-07-25,2,3.8313565718988905,0.0006063661224909689,Utilities
ETR-SO,2017-07-26,2017-08-03,6,3.7639018934360844,0.02042107224269514,Utilities
GPS-TJX,2017-06-21,2017-08-21,42,-2.9041492666814945,0.024989688251751234,Retail
GIS-HSY,2017-09-22,2017-11-10,35,-2.922630236465696,0.0012370242075710625,Staples - Food & Beverage
GPS-TJX,2017-09-14,2017-11-06,37,2.578147873239562,0.01089186580482482,Retail
LLY-PFE,2017-09-13,2017-11-02,36,-2.5893113683536058,0.0009175908701358876,Pharma & Med Device
