instrument,entry_date,exit_date,holding_days,entry_z,pnl,sector
APD-MAS,2005-03-04,2005-03-07,1,5.605278811559143,0.0011669188878448275,Materials
APD-MAS,2005-03-08,2005-03-09,1,5.511446838265544,-0.004664552432121121,Materials
APD-MAS,2005-03-10,2005-03-11,1,5.942641589667247,0.004181773241745141,Materials
APD-MAS,2005-03-14,2005-03-15,1,5.869021654485572,-0.0002785591831935712,Materials
APD-MAS,2005-03-16,2005-03-17,1,4.938754167955751,0.00438962519205778,Materials
APD-MAS,2005-03-18,2005-03-21,1,5.339159003332876,0.001301196201096816,Materials
APD-MAS,2005-03-22,2005-03-23,1,4.940596298054466,-0.00021805681806558023,Materials
APD-MAS,2005-03-24,2005-03-28,1,5.094476062188858,-0.0018336997573929095,Materials
APD-MAS,2005-03-29,2005-03-30,1,4.421112591265276,0.0011928077202083668,Materials
APD-MAS,2005-03-31,2005-04-01,1,4.605986346296243,-0.00032453763708530515,Materials
APD-MAS,2005-04-04,2005-04-05,1,4.692199334274361,0.00020364769217455817,Materials
APD-MAS,2005-04-06,2005-04-07,1,4.9413485295418464,-8.788712494853381e-05,Materials
APD-MAS,2005-04-08,2005-04-11,1,4.737736811437267,0.0018374720893871057,Materials
APD-MAS,2005-04-12,2005-04-13,1,4.07112795841755,0.004116318270914353,Materials
APD-MAS,2005-04-14,2005-05-02,12,3.218051199061473,-0.005311880401063156,Materials
APD-MAS,2005-05-03,2005-05-04,1,5.771898261405426,-0.0076384899796345385,Materials
APD-MAS,2005-05-05,2005-05-06,1,5.534310230173869,0.0015582615560956888,Materials
APD-MAS,2005-05-09,2005-05-10,1,5.289457114295523,0.0019282028311471255,Materials
APD-MAS,2005-05-11,2005-05-12,1,5.384255045953842,-0.004404140969353421,Materials
APD-MAS,2005-05-13,2005-05-16,1,4.782183765173837,-0.00045460496748241254,Materials
DIS-T,2005-10-10,2005-11-03,18,-2.6250141382855023,0.04202419998117784,Media & Telecom
PCAR-SWK,2005-10-17,2005-11-09,17,-3.273718431227503,0.025849541950837166,Machinery
LMT-RTN,2005-10-11,2005-11-11,23,2.6078260158585564,0.02283853426726527,Aerospace & Defense
CMCSA-T,2006-01-27,2006-02-02,4,3.6909824424974818,-0.05037600709363092,Media & Telecom
CMCSA-T,2006-02-03,2006-02-06,1,4.652219746991135,-0.01705683804172429,Media & Telecom
CMCSA-T,2006-02-07,2006-02-08,1,4.751752262816849,0.008186961151609353,Media & Telecom
CMCSA-T,2006-02-09,2006-02-10,1,4.9959379421449395,0.018558935725077032,Media & Telecom
CMCSA-T,2006-02-13,2006-02-14,1,5.605500282842669,-0.0015222694976787777,Media & Telecom
ECL-PG,2005-12-14,2006-01-30,30,3.9451015099686204,-0.012883618391417846,Staples - Household
ECL-PG,2006-01-31,2006-02-02,2,3.7347562461227484,-0.01203558579903523,Staples - Household
APA-COP,2006-06-13,2006-06-30,13,-3.5605395045219272,0.03281649527138658,Energy
GIS-KO,2006-05-26,2006-07-26,41,3.098383073686401,-0.0008606502240750492,Staples - Food & Beverage
GPS-WMT,2006-10-11,2006-10-31,14,2.994730918607566,-0.016608825279944152,Retail
GPS-WMT,2006-11-01,2006-11-02,1,4.0599918223563565,0.01869203071620652,Retail
APA-COP,2006-10-04,2006-10-20,12,-2.264666509708061,0.04658409634069722,Energy
BK-STT,2006-12-05,2007-01-18,28,3.7355115847310287,0.022903391090853237,Banks
ADBE-MSFT,2007-03-28,2007-05-01,23,2.1316070652479593,0.02941096577229936,Tech - Software
AMD-MU,2007-07-12,2007-07-27,11,-1.9565468600225513,0.05653481335599427,Tech - Semiconductors
CPB-MO,2007-08-06,2007-08-10,4,-1.502793659999992,-0.013682902456120744,Staples - Food & Beverage
EMR-ETN,2007-07-18,2007-08-01,10,2.219514228393308,0.014507382559522893,Machinery
COST-TGT,2007-10-11,2007-10-23,8,3.4007092813811624,-0.006177066371986035,Retail
COST-TGT,2007-10-24,2007-11-01,6,3.2864886242004525,-0.004961492940825294,Retail
COST-TGT,2007-11-02,2007-11-05,1,4.507375366685447,-0.0013306055295979023,Retail
COST-TGT,2007-11-06,2007-11-07,1,5.3030112268889384,-0.0042344783760237354,Retail
COST-TGT,2007-11-08,2007-11-09,1,5.165611813328074,-0.008030530504544836,Retail
COST-TGT,2007-11-12,2007-11-13,1,5.866359185535592,0.007694094627257254,Retail
COST-TGT,2007-11-14,2007-11-15,1,5.916312924261808,-0.008018344048962357,Retail
HAL-MRO,2007-09-21,2007-10-12,15,3.001672594246461,-0.017108386011812665,Energy
HAL-MRO,2007-10-15,2007-10-16,1,4.397101129672676,0.0016213874319199214,Energy
HAL-MRO,2007-10-17,2007-10-18,1,4.49910229318906,-0.00237235767188175,Energy
HAL-MRO,2007-10-19,2007-10-26,5,2.9623725666488685,-0.007166047534175469,Energy
BK-C,2008-01-22,2008-02-04,9,-2.155750537740502,0.05351533062814889,Banks
T-VZ,2007-12-10,2007-12-13,3,-3.301335610921811,0.022625551544193587,Media & Telecom
MRK-SYK,2008-04-01,2008-04-16,11,-3.325305785414577,0.032456321719611866,Pharma & Med Device
LLY-MDT,2008-05-22,2008-06-27,25,-2.5863357309097315,-0.016001131023282864,Pharma & Med Device
LLY-MDT,2008-06-30,2008-07-01,1,-4.317358541402636,-0.0025372892831001604,Pharma & Med Device
LLY-MDT,2008-07-02,2008-07-08,3,-3.9332826496931164,0.0006054729413717849,Pharma & Med Device
LLY-MDT,2008-07-09,2008-07-17,6,-3.6480056253015816,-0.010360975124560282,Pharma & Med Device
LLY-MDT,2008-07-18,2008-07-21,1,-4.25033160640116,-0.0005529145157412456,Pharma & Med Device
LLY-MDT,2008-07-22,2008-07-23,1,-5.3445725017715775,-0.005936759953353406,Pharma & Med Device
LLY-MDT,2008-07-24,2008-07-25,1,-4.177522265681376,-0.005416675401643888,Pharma & Med Device
LLY-MDT,2008-07-28,2008-07-29,1,-4.114030768137618,0.002394054264102526,Pharma & Med Device
LLY-MDT,2008-07-30,2008-07-31,1,-4.218891516098395,-0.0073357348799638926,Pharma & Med Device
LLY-MDT,2008-08-01,2008-08-04,1,-4.073287069666894,0.0008974202059639645,Pharma & Med Device
LLY-MDT,2008-08-05,2008-08-06,1,-4.582464523280969,-0.006833804031237068,Pharma & Med Device
LLY-MDT,2008-08-07,2008-08-11,2,-3.9521574058483675,0.0022185516671162308,Pharma & Med Device
LLY-MDT,2008-08-12,2008-08-14,2,-3.406545366594539,-0.0050424507401899,Pharma & Med Device
LLY-MDT,2008-08-15,2008-08-18,1,-4.122598451446875,-0.0014908072915413505,Pharma & Med Device
COP-SLB,2008-06-02,2008-07-16,31,2.582431431122455,0.015678667808426593,Energy
DUK-PEG,2008-06-30,2008-07-25,18,-2.733613831397547,0.01576623440322851,Utilities
K-MO,2008-06-27,2008-07-24,18,-3.7314466498095866,0.026774573159939065,Staples - Food & Beverage
PEP-MO,2008-09-17,2008-10-14,19,3.4987314741142947,0.06783082353831082,Staples - Food & Beverage
PEP-MO,2008-10-21,2008-11-04,10,-1.9644023193012266,0.01591269107095959,Staples - Food & Beverage
PNC-USB,2008-09-19,2008-09-30,7,3.1187589494814327,0.13677935904469535,Banks
APA-OXY,2008-10-08,2008-10-10,2,3.0609714429149024,-0.030961581398416156,Energy
APA-OXY,2008-10-13,2008-10-14,1,4.740117500259653,-0.00357185209227737,Energy
APA-OXY,2008-10-15,2008-10-16,1,5.823691065714527,-0.014245978504619164,Energy
APA-OXY,2008-10-17,2008-10-20,1,5.728291722562296,0.016378029892439645,Energy
APA-OXY,2008-10-21,2008-10-22,1,5.234509451467458,-0.022769196950624133,Energy
APA-OXY,2008-10-23,2008-10-24,1,4.499676147384519,-0.003298937025390747,Energy
APA-OXY,2008-10-27,2008-10-28,1,6.04677753793804,0.019090757098188846,Energy
APA-OXY,2008-10-29,2008-11-12,10,3.6932842915246837,-0.019679374090234448,Energy
APA-OXY,2008-11-13,2008-11-14,1,5.16048725228989,0.0037484588260442587,Energy
HD-JWN,2008-10-02,2008-10-14,8,3.0625832112492244,-0.021292153536424392,Retail
HD-JWN,2008-10-15,2008-10-16,1,5.677930260608506,-0.005086303404236946,Retail
HD-JWN,2008-10-17,2008-10-20,1,5.909484662238888,-0.005131289658327608,Retail
HD-JWN,2008-10-21,2008-10-22,1,4.9569629760455145,0.006931705784534494,Retail
HD-JWN,2008-10-23,2008-10-24,1,4.639184298579271,-0.013741076332947709,Retail
HD-JWN,2008-10-27,2008-10-28,1,6.751128440732494,-0.016214114083591566,Retail
HD-JWN,2008-10-29,2008-10-30,1,8.300287114945775,-0.007548510072893373,Retail
HD-JWN,2008-10-31,2008-11-03,1,7.469484865237871,0.0181116658663694,Retail
HD-JWN,2008-11-04,2008-11-05,1,8.320852238386223,-0.014840113057823798,Retail
HD-JWN,2008-11-06,2008-11-07,1,7.952992170195719,5.33749693877037e-05,Retail
HD-JWN,2008-11-10,2008-11-11,1,9.061389121397001,-0.012613136800063027,Retail
HD-JWN,2008-11-12,2008-11-13,1,9.892529581378204,-0.00444784782818042,Retail
AMD-LRCX,2008-11-25,2009-01-14,33,-2.820761334787244,0.024777815343619138,Tech - Semiconductors
ABC-HUM,2009-02-27,2009-03-03,2,3.2523429105940678,-0.013217057713096664,Healthcare Services
ABC-HUM,2009-03-04,2009-03-05,1,4.164889383923629,-0.0016013428416154153,Healthcare Services
ABC-HUM,2009-03-06,2009-03-09,1,4.746801156973939,0.005877256783303561,Healthcare Services
ABC-HUM,2009-03-10,2009-04-24,32,3.946434371839665,0.022220964622913494,Healthcare Services
MAS-VMC,2009-03-13,2009-04-17,24,1.8908634112329874,0.200772344443895,Materials
KLAC-LRCX,2009-12-03,2010-01-27,36,-2.1895605047208715,0.00010289687773820579,Tech - Semiconductors
PEG-SO,2010-07-15,2010-07-28,9,2.7060196001563215,-0.022696721433553144,Utilities
AIG-MMC,2010-06-08,2010-06-15,5,2.2176525125050617,0.10287276417733388,Insurance
ADI-AMD,2010-09-29,2010-11-01,23,2.3846807471282356,-0.015343695343176277,Tech - Semiconductors
ADI-AMD,2010-11-02,2010-11-03,1,4.464720312865664,-0.0005154571086711038,Tech - Semiconductors
ADI-AMD,2010-11-04,2010-11-05,1,4.892060445796387,-0.0019119511009886858,Tech - Semiconductors
ADI-AMD,2010-11-08,2010-11-09,1,4.640009204933584,-0.0003449743824035911,Tech - Semiconductors
ADI-AMD,2010-11-10,2010-11-11,1,4.416470932262887,0.006698684366274528,Tech - Semiconductors
ADI-AMD,2010-11-12,2010-11-15,1,4.141523156764722,-0.001909142372947291,Tech - Semiconductors
AXP-COF,2010-12-01,2010-12-21,14,2.754290535753196,0.022359650286192818,Capital Markets & Cards
GPS-LOW,2010-12-22,2010-12-31,6,-2.5216775354394003,0.022760725932411584,Retail
GPS-LOW,2011-01-18,2011-01-28,8,-2.7040703502391774,-0.02632849367876124,Retail
ADI-KLAC,2010-11-23,2011-01-18,37,2.9506413431733405,-0.0034382726191769302,Tech - Semiconductors
FE-PEG,2011-05-11,2011-05-18,5,2.9947708541156173,-0.028177776693021888,Utilities
NEM-VMC,2011-03-17,2011-04-01,11,-2.4645860081693702,0.024014347684131087,Materials
C-WFC,2011-07-20,2011-08-08,13,-3.176150977914548,-0.01884198845323582,Banks
C-WFC,2011-08-09,2011-08-10,1,-5.330570153904026,0.014932324585985656,Banks
C-WFC,2011-08-11,2011-08-12,1,-6.229183393666371,0.0027046542510673513,Banks
C-WFC,2011-08-15,2011-08-16,1,-6.008775404265029,-0.000594955481174589,Banks
GPS-JWN,2011-05-23,2011-05-25,2,-3.555662042086341,-0.005497819957966739,Retail
GPS-JWN,2011-05-26,2011-05-27,1,-4.170355332795192,0.0009226808136670827,Retail
GPS-JWN,2011-05-31,2011-06-03,3,-3.946810953794954,-0.005037110139556562,Retail
GPS-JWN,2011-06-06,2011-06-07,1,-4.489662867690402,0.0013617582755740174,Retail
GPS-JWN,2011-06-08,2011-06-09,1,-4.6779773683499135,0.0023822100158643364,Retail
GPS-JWN,2011-06-10,2011-06-13,1,-4.334295514351291,0.000539355476061879,Retail
GPS-JWN,2011-06-14,2011-06-15,1,-4.956385580382758,-0.002703885871966723,Retail
GPS-JWN,2011-06-16,2011-06-17,1,-4.866514030150072,-0.0009519958104633869,Retail
GPS-JWN,2011-06-20,2011-06-21,1,-4.885118841222911,-0.002835283424881624,Retail
GPS-JWN,2011-06-22,2011-06-23,1,-5.561750185053641,-0.004483965988054406,Retail
GPS-JWN,2011-06-24,2011-06-27,1,-5.519014774971014,-0.0010680708187939174,Retail
GPS-JWN,2011-06-28,2011-06-29,1,-5.659420896985794,-0.0006580377709239072,Retail
GPS-JWN,2011-06-30,2011-07-01,1,-5.68651602561203,-0.0002443406898381781,Retail
GPS-JWN,2011-07-05,2011-07-06,1,-5.96572000706704,-0.0041014499384849756,Retail
GPS-JWN,2011-07-07,2011-07-08,1,-5.2649343356557425,-0.0001618821384508888,Retail
GPS-JWN,2011-07-11,2011-07-12,1,-5.817759146347796,-0.002616999313289645,Retail
GPS-JWN,2011-07-13,2011-07-14,1,-5.6573498195049705,-0.002596433828627709,Retail
GPS-JWN,2011-07-15,2011-07-18,1,-5.6943604440875255,0.0005517689377461277,Retail
GPS-JWN,2011-07-19,2011-07-20,1,-5.691973809761664,-0.0014188233763899865,Retail
GPS-JWN,2011-07-21,2011-07-22,1,-5.324061480194291,0.0010714038483422986,Retail
GPS-JWN,2011-07-25,2011-07-26,1,-5.1336024177996995,0.00018025252071516293,Retail
GPS-JWN,2011-07-27,2011-07-28,1,-5.2176805930769765,0.006041222953312518,Retail
GPS-JWN,2011-07-29,2011-08-01,1,-5.1221469426291435,-0.0035622708109514503,Retail
GPS-JWN,2011-08-02,2011-08-03,1,-4.660420508996458,0.0023209298980605454,Retail
GPS-JWN,2011-08-04,2011-08-05,1,-5.635056802525874,-0.009469375421591876,Retail
GPS-JWN,2011-08-08,2011-08-09,1,-6.317682769985794,-0.00045183936702842067,Retail
GPS-JWN,2011-08-10,2011-08-11,1,-6.57004723915225,-0.006749693764601399,Retail
GPS-JWN,2011-08-12,2011-08-15,1,-6.799127371473709,0.006048683612466504,Retail
GPS-JWN,2011-08-16,2011-08-17,1,-6.346597250331161,0.012734876356403758,Retail
AVY-PPG,2011-06-08,2011-07-20,29,-2.2420144778708373,-0.03719055692082506,Materials
AVY-PPG,2011-07-21,2011-07-22,1,-6.949755097602417,0.005688528144670506,Materials
AVY-PPG,2011-07-25,2011-07-26,1,-6.732917493071984,0.0015851870084579792,Materials
AVY-PPG,2011-07-27,2011-07-28,1,-7.572295438882057,-0.00517406185575274,Materials
AVY-PPG,2011-07-29,2011-08-01,1,-7.486228683696091,0.0011149433007650077,Materials
AVY-PPG,2011-08-02,2011-08-03,1,-8.374933340704128,-0.005909021005041738,Materials
AVY-PPG,2011-08-04,2011-08-05,1,-8.565862202974193,0.003216887103966541,Materials
AVY-PPG,2011-08-08,2011-08-09,1,-10.548739064903137,-0.011981218791810515,Materials
AVY-PPG,2011-08-10,2011-08-11,1,-10.92183870705253,0.0002895301630916012,Materials
AVY-PPG,2011-08-12,2011-08-15,1,-9.791523143390805,0.004876360889174149,Materials
AVY-PPG,2011-08-16,2011-08-17,1,-10.026281838865147,-0.00019504713542568212,Materials
ABC-UNH,2011-09-16,2011-10-05,13,-2.1739759985645417,0.015741910947910307,Healthcare Services
NUE-VMC,2011-10-03,2011-11-07,25,3.323534224745421,-0.022421638321856154,Materials
NUE-VMC,2011-11-08,2011-11-09,1,4.174194807451935,9.70166994879681e-05,Materials
NUE-VMC,2011-11-10,2011-11-11,1,4.667293943096818,-0.0036171793329854447,Materials
NUE-VMC,2011-11-14,2011-11-15,1,4.563810935329167,0.004049483762944268,Materials
COST-JWN,2012-05-04,2012-05-14,6,-2.7495431632724405,0.02567248425075356,Retail
COST-JWN,2012-06-08,2012-06-29,15,2.4364174705655257,-0.013249213701426812,Retail
ADBE-ADSK,2012-05-21,2012-07-11,35,3.476652952738998,0.010078383853246073,Tech - Software
GIS-MO,2012-11-30,2013-01-30,40,2.754034916750999,-0.00988959504322564,Staples - Food & Beverage
GIS-MO,2013-01-31,2013-02-01,1,4.142241680142225,-0.002179151106129305,Staples - Food & Beverage
GIS-MO,2013-02-04,2013-02-06,2,3.963809460438318,-0.0010163553086904543,Staples - Food & Beverage
GIS-MO,2013-02-07,2013-02-08,1,4.7757546982440635,-0.0015831141567403356,Staples - Food & Beverage
GIS-MO,2013-02-11,2013-02-12,1,4.994572361766342,-0.000575659840456923,Staples - Food & Beverage
GIS-MO,2013-02-13,2013-02-14,1,5.312669199009634,-0.0018433829508325086,Staples - Food & Beverage
GIS-MO,2013-02-15,2013-02-19,1,6.886955511140341,-0.0010705499848542863,Staples - Food & Beverage
GLW-IBM,2013-03-14,2013-04-22,26,-3.1520215708808985,0.0785176343075218,Tech - Hardware
KO-MO,2013-03-22,2013-04-17,17,2.7644446740760364,-0.009480577299620083,Staples - Food & Beverage
KO-MO,2013-04-18,2013-04-19,1,4.8775755083370305,-0.00012938473658719572,Staples - Food & Beverage
KO-MO,2013-04-22,2013-04-23,1,5.211299457430954,-0.0010327802074311843,Staples - Food & Beverage
KO-MO,2013-04-24,2013-04-25,1,4.2924073946167836,0.0026874090873738776,Staples - Food & Beverage
KO-MO,2013-04-26,2013-05-08,8,3.8282918387157823,-0.00032384966892877703,Staples - Food & Beverage
KO-MO,2013-05-09,2013-05-17,6,3.647041980500707,-0.0017664018144756756,Staples - Food & Beverage
TGT-WMT,2013-03-05,2013-03-21,12,2.971105236333945,-0.007021133937205142,Retail
