Period,N days,Annualized Return,Annualized Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate (days)
Dot-com bust (1998-2001),788,0.06495600075991614,0.06397606473257152,1.0156125671129015,1.349794481676864,-0.04476281902783774,1.4511150586722517,0.3286802030456853
Recovery / mid-cycle (2002-2006),1259,0.014764785984722417,0.03315865221536021,0.4586364281315934,0.38682588787478345,-0.05469865001565544,0.26992962313506,0.31850675138999207
GFC + recovery (2007-2011),1260,0.054735510023008915,0.06091965563332095,0.9051210213407784,0.931546856948672,-0.05297432716647055,1.0332459693353706,0.2896825396825397
QE era (2012-2017),1476,0.007360923886924997,0.02795822013959009,0.2762970300219021,0.2706390910237163,-0.03248518935181999,0.22659322706126078,0.32791327913279134
